date,fy,net,incomeTax,salesTax,fed,customs,provisional,sourceType,source,target,partialBreakdown
2024-07,FY2025,659.8,284.1,256.4,37.4,81.9,true,official,https://download1.fbr.gov.pk/Docs/20261151114844602MONTHWISE-TAXWISENETCOLLECTIONDURINGFY2024-25.pdf,,
2024-08,FY2025,796.3,332.1,315.5,58.2,90.5,true,official,https://download1.fbr.gov.pk/Docs/20261151114844602MONTHWISE-TAXWISENETCOLLECTIONDURINGFY2024-25.pdf,,
2024-09,FY2025,1106.8,614,332.9,55.4,104.5,true,official,https://download1.fbr.gov.pk/Docs/20261151114844602MONTHWISE-TAXWISENETCOLLECTIONDURINGFY2024-25.pdf,,
2024-10,FY2025,879.7,385.9,331.6,62.6,99.6,true,official,https://download1.fbr.gov.pk/Docs/20261151114844602MONTHWISE-TAXWISENETCOLLECTIONDURINGFY2024-25.pdf,,
2024-11,FY2025,852.3,374.4,314.9,63.7,99.3,true,official,https://download1.fbr.gov.pk/Docs/20261151114844602MONTHWISE-TAXWISENETCOLLECTIONDURINGFY2024-25.pdf,,
2024-12,FY2025,1329.9,791,346.9,69.2,122.8,true,official,https://download1.fbr.gov.pk/Docs/20261151114844602MONTHWISE-TAXWISENETCOLLECTIONDURINGFY2024-25.pdf,,
2025-01,FY2025,872.6,379.1,320.9,57.5,115.1,true,official,https://download1.fbr.gov.pk/Docs/20261151114844602MONTHWISE-TAXWISENETCOLLECTIONDURINGFY2024-25.pdf,,
2025-02,FY2025,846.6,366.6,311.2,62.7,106.1,true,official,https://download1.fbr.gov.pk/Docs/20261151114844602MONTHWISE-TAXWISENETCOLLECTIONDURINGFY2024-25.pdf,,
2025-03,FY2025,1109.1,600.6,330.5,70.3,107.7,true,official,https://download1.fbr.gov.pk/Docs/20261151114844602MONTHWISE-TAXWISENETCOLLECTIONDURINGFY2024-25.pdf,,
2025-04,FY2025,847.1,351.5,313.3,66.4,115.9,true,official,https://download1.fbr.gov.pk/Docs/20261151114844602MONTHWISE-TAXWISENETCOLLECTIONDURINGFY2024-25.pdf,,
2025-05,FY2025,933.7,421.5,329.4,69.5,113.3,true,official,https://download1.fbr.gov.pk/Docs/20261151114844602MONTHWISE-TAXWISENETCOLLECTIONDURINGFY2024-25.pdf,,
2025-06,FY2025,1510.4,890.9,397.9,93.7,127.9,true,official,https://download1.fbr.gov.pk/Docs/20261151114844602MONTHWISE-TAXWISENETCOLLECTIONDURINGFY2024-25.pdf,,
2025-07,FY2026,754,,,,,true,secondary-attributed,https://thestandard.com.pk/fbr-collects-rs-754n-in-july-2025/,748,
2026-01,FY2026,1015,483,360,,,true,official,https://www.fbr.gov.pk/pr/fbr-revenue-collection-picks-up-momentum-in-j/174566/2026,,true
