date,net_fdi,equity,debt
2021-07,117,129,-12
2021-08,137,95,42
2021-09,261,206,55
2021-10,247,137,110
2021-11,158,145,13
2021-12,240,118,122
2022-01,121,138,-17
2022-02,102,112,-10
2022-03,-30,144,-174
2022-04,171,123,48
2022-05,141,102,39
2022-06,271,141,130
2022-07,99,118,-19
2022-08,149,138,11
2022-09,133,164,-31
2022-10,145,136,9
2022-11,122,180,-58
2022-12,38,-5,43
2023-01,242,193,49
2023-02,119,106,13
2023-03,170,173,-3
2023-04,132,122,10
2023-05,156,123,33
2023-06,122,116,6
2023-07,124,131,-7
2023-08,183,179,4
2023-09,213,200,13
2023-10,163,137,26
2023-11,172,186,-14
2023-12,252,240,12
2024-01,-132,-134,2
2024-02,172,156,16
2024-03,294,274,20
2024-04,394,371,23
2024-05,306,287,19
2024-06,205,201,4
2024-07,185,195,-10
2024-08,264,257,7
2024-09,417,431,-14
2024-10,146,127,19
2024-11,232,240,-8
2024-12,182,175,7
2025-01,236,219,17
2025-02,130,173,-43
2025-03,64,67,-3
2025-04,179,197,-18
2025-05,232,191,41
2025-06,210,225,-15
2025-07,224,252,-28
2025-08,175,175,0
2025-09,186,215,-29
2025-10,171,177,-6
2025-11,180,168,12
2025-12,-135,34,-169
2026-01,173,177,-4
2026-02,214,175,39
2026-03,168,212,-44
2026-04,54,86,-32
2026-05,214,206,8
2026-06,14,29,-15
