series,date,value
national_cpi,2021-07,8.405968385
national_cpi,2021-08,8.353519783
national_cpi,2021-09,8.979178716
national_cpi,2021-10,9.2
national_cpi,2021-11,11.5
national_cpi,2021-12,12.28169814
national_cpi,2022-01,12.96243597
national_cpi,2022-02,12.24404221
national_cpi,2022-03,12.7
national_cpi,2022-04,13.37790337
national_cpi,2022-05,13.8
national_cpi,2022-06,21.3
national_cpi,2022-07,24.9
national_cpi,2022-08,27.3
national_cpi,2022-09,23.2
national_cpi,2022-10,26.6
national_cpi,2022-11,23.8
national_cpi,2022-12,24.5
national_cpi,2023-01,27.6
national_cpi,2023-02,31.5
national_cpi,2023-03,35.4
national_cpi,2023-04,36.4
national_cpi,2023-05,38
national_cpi,2023-06,29.4
national_cpi,2023-07,28.3
national_cpi,2023-08,27.4
national_cpi,2023-09,31.4
national_cpi,2023-10,26.8
national_cpi,2023-11,29.2
national_cpi,2023-12,29.7
national_cpi,2024-01,28.3
national_cpi,2024-02,23.1
national_cpi,2024-03,20.7
national_cpi,2024-04,17.3
national_cpi,2024-05,11.8
national_cpi,2024-06,12.6
national_cpi,2024-07,11.1
national_cpi,2024-08,9.6
national_cpi,2024-09,6.9
national_cpi,2024-10,7.2
national_cpi,2024-11,4.9
national_cpi,2024-12,4.1
national_cpi,2025-01,2.4
national_cpi,2025-02,1.5
national_cpi,2025-03,0.7
national_cpi,2025-04,0.3
national_cpi,2025-05,3.5
national_cpi,2025-06,3.2
national_cpi,2025-07,4.1
national_cpi,2025-08,3.1
national_cpi,2025-09,5.8
national_cpi,2025-10,6.2
national_cpi,2025-11,6.1
national_cpi,2025-12,5.6
national_cpi,2026-01,5.8
national_cpi,2026-02,7
national_cpi,2026-03,7.3
national_cpi,2026-04,10.9
national_cpi,2026-05,11.7
national_cpi,2026-06,11.1
urban_cpi,2021-07,8.669190232
urban_cpi,2021-08,8.319835076
urban_cpi,2021-09,9.125281757
urban_cpi,2021-10,9.6
urban_cpi,2021-11,12
urban_cpi,2021-12,12.73716618
urban_cpi,2022-01,12.9867336
urban_cpi,2022-02,11.51391908
urban_cpi,2022-03,11.9
urban_cpi,2022-04,12.22827962
urban_cpi,2022-05,12.4
urban_cpi,2022-06,19.8
urban_cpi,2022-07,23.6
urban_cpi,2022-08,26.2
urban_cpi,2022-09,21.2
urban_cpi,2022-10,24.6
urban_cpi,2022-11,21.6
urban_cpi,2022-12,21.6
urban_cpi,2023-01,24.4
urban_cpi,2023-02,28.8
urban_cpi,2023-03,33
urban_cpi,2023-04,33.5
urban_cpi,2023-05,35.1
urban_cpi,2023-06,27.3
urban_cpi,2023-07,26.3
urban_cpi,2023-08,25
urban_cpi,2023-09,29.7
urban_cpi,2023-10,25.5
urban_cpi,2023-11,30.4
urban_cpi,2023-12,30.9
urban_cpi,2024-01,30.2
urban_cpi,2024-02,24.9
urban_cpi,2024-03,21.9
urban_cpi,2024-04,19.4
urban_cpi,2024-05,14.3
urban_cpi,2024-06,14.9
urban_cpi,2024-07,13.2
urban_cpi,2024-08,11.7
urban_cpi,2024-09,9.3
urban_cpi,2024-10,9.3
urban_cpi,2024-11,5.2
urban_cpi,2024-12,4.4
urban_cpi,2025-01,2.7
urban_cpi,2025-02,1.8
urban_cpi,2025-03,1.2
urban_cpi,2025-04,0.5
urban_cpi,2025-05,3.5
urban_cpi,2025-06,3
urban_cpi,2025-07,4.4
urban_cpi,2025-08,3.5
urban_cpi,2025-09,5.7
urban_cpi,2025-10,6
urban_cpi,2025-11,6.1
urban_cpi,2025-12,5.8
urban_cpi,2026-01,5.8
urban_cpi,2026-02,6.8
urban_cpi,2026-03,7.4
urban_cpi,2026-04,11.1
urban_cpi,2026-05,11.8
urban_cpi,2026-06,11.2
rural_cpi,2021-07,8.008213552
rural_cpi,2021-08,8.403975446
rural_cpi,2021-09,8.766396674
rural_cpi,2021-10,8.7
rural_cpi,2021-11,10.9
rural_cpi,2021-12,11.60883281
rural_cpi,2022-01,12.92976165
rural_cpi,2022-02,13.32916145
rural_cpi,2022-03,13.9
rural_cpi,2022-04,15.09252253
rural_cpi,2022-05,15.9
rural_cpi,2022-06,23.6
rural_cpi,2022-07,26.9
rural_cpi,2022-08,28.8
rural_cpi,2022-09,26.1
rural_cpi,2022-10,29.5
rural_cpi,2022-11,27.2
rural_cpi,2022-12,28.8
rural_cpi,2023-01,32.3
rural_cpi,2023-02,35.6
rural_cpi,2023-03,38.9
rural_cpi,2023-04,40.7
