series,date,value,unit
m2,2021-07,23234110.55,Million PKR
m2,2021-08,23079550.61,Million PKR
m2,2021-09,23296205.87,Million PKR
m2,2021-10,23606750.33,Million PKR
m2,2021-11,23394316.75,Million PKR
m2,2021-12,23561013.54,Million PKR
m2,2022-01,24123876.6,Million PKR
m2,2022-02,23743708.21,Million PKR
m2,2022-03,23855037.11,Million PKR
m2,2022-04,24236357.46,Million PKR
m2,2022-05,24992326.88,Million PKR
m2,2022-06,25388537.45,Million PKR
m2,2022-07,26774407.34,Million PKR
m2,2022-08,26122542.38,Million PKR
m2,2022-09,26384928.37,Million PKR
m2,2022-10,26688632.46,Million PKR
m2,2022-11,26872487.52,Million PKR
m2,2022-12,26940388.73,Million PKR
m2,2023-01,26760741.43,Million PKR
m2,2023-02,27068191.22,Million PKR
m2,2023-03,27376983.86,Million PKR
m2,2023-04,28295354.17,Million PKR
m2,2023-05,28993650.55,Million PKR
m2,2023-06,29464882.71,Million PKR
m2,2023-07,30455009.5,Million PKR
m2,2023-08,30321066.43,Million PKR
m2,2023-09,30494074.03,Million PKR
m2,2023-10,30703298.39,Million PKR
m2,2023-11,31008206.93,Million PKR
m2,2023-12,31324307.66,Million PKR
m2,2024-01,31814902.22,Million PKR
m2,2024-02,31632664.36,Million PKR
m2,2024-03,32095793.93,Million PKR
m2,2024-04,32812328.51,Million PKR
m2,2024-05,33121328.13,Million PKR
m2,2024-06,33880082.44,Million PKR
m2,2024-07,35153078.67,Million PKR
m2,2024-08,34722428.53,Million PKR
m2,2024-09,34942476.24,Million PKR
m2,2024-10,35206554.74,Million PKR
m2,2024-11,35291347.66,Million PKR
m2,2024-12,35128481,Million PKR
m2,2025-01,35249285.55,Million PKR
m2,2025-02,35459731.37,Million PKR
m2,2025-03,35920808.56,Million PKR
m2,2025-04,37241638.63,Million PKR
m2,2025-05,37238509.62,Million PKR
m2,2025-06,38079966.83,Million PKR
m2,2025-07,39781026.79,Million PKR
m2,2025-08,39055284.59,Million PKR
m2,2025-09,39444886,Million PKR
m2,2025-10,39399445.19,Million PKR
m2,2025-11,39587884.77,Million PKR
m2,2025-12,40192492.3,Million PKR
m2,2026-01,41639944.18,Million PKR
m2,2026-02,41274294.68,Million PKR
m2,2026-03,41917458.16,Million PKR
m2,2026-04,42753284.09,Million PKR
m2,2026-05,43044021.42,Million PKR
m2,2026-06,43453936.16,Million PKR
m2,2026-07,45004908.23,Million PKR
m2_yoy,2021-07,14.94,Percent
m2_yoy,2021-08,14.26,Percent
m2_yoy,2021-09,15.39,Percent
m2_yoy,2021-10,15.11,Percent
m2_yoy,2021-11,14.48,Percent
m2_yoy,2021-12,13.65,Percent
m2_yoy,2022-01,13.8,Percent
m2_yoy,2022-02,12.84,Percent
m2_yoy,2022-03,12.02,Percent
m2_yoy,2022-04,11.34,Percent
m2_yoy,2022-05,14.23,Percent
m2_yoy,2022-06,13.74,Percent
m2_yoy,2022-07,13.67,Percent
m2_yoy,2022-08,13.18,Percent
m2_yoy,2022-09,13.26,Percent
m2_yoy,2022-10,13.86,Percent
m2_yoy,2022-11,14.87,Percent
m2_yoy,2022-12,14.34,Percent
m2_yoy,2023-01,10.93,Percent
m2_yoy,2023-02,14,Percent
m2_yoy,2023-03,14.76,Percent
m2_yoy,2023-04,16.54,Percent
m2_yoy,2023-05,16.01,Percent
m2_yoy,2023-06,16.06,Percent
m2_yoy,2023-07,15.78,Percent
m2_yoy,2023-08,16.07,Percent
m2_yoy,2023-09,15.57,Percent
m2_yoy,2023-10,15.04,Percent
m2_yoy,2023-11,15.39,Percent
m2_yoy,2023-12,16.27,Percent
m2_yoy,2024-01,18.89,Percent
m2_yoy,2024-02,16.86,Percent
m2_yoy,2024-03,17.24,Percent
m2_yoy,2024-04,15.96,Percent
m2_yoy,2024-05,14.24,Percent
m2_yoy,2024-06,13.92,Percent
m2_yoy,2024-07,15.43,Percent
m2_yoy,2024-08,14.52,Percent
m2_yoy,2024-09,13.81,Percent
m2_yoy,2024-10,14.67,Percent
m2_yoy,2024-11,13.81,Percent
m2_yoy,2024-12,12.21,Percent
m2_yoy,2025-01,10.79,Percent
m2_yoy,2025-02,11.72,Percent
m2_yoy,2025-03,12.64,Percent
m2_yoy,2025-04,13.5,Percent
m2_yoy,2025-05,12.43,Percent
m2_yoy,2025-06,12.4,Percent
m2_yoy,2025-07,-0.22,Percent
m2_yoy,2025-08,12.48,Percent
m2_yoy,2025-09,12.89,Percent
m2_yoy,2025-10,11.91,Percent
m2_yoy,2025-11,11.45,Percent
m2_yoy,2025-12,14.42,Percent
m2_yoy,2026-01,16.92,Percent
m2_yoy,2026-02,16.4,Percent
m2_yoy,2026-03,16.24,Percent
m2_yoy,2026-04,15.69,Percent
m2_yoy,2026-05,15.92,Percent
m2_yoy,2026-06,13.08,Percent
m2_yoy,2026-07,14.46,Percent
credit_private,2021-07,6737425.75,Million PKR
credit_private,2021-08,6747583.66,Million PKR
credit_private,2021-09,6764597.08,Million PKR
credit_private,2021-10,7030859.81,Million PKR
credit_private,2021-11,7197592.61,Million PKR
credit_private,2021-12,7387763.23,Million PKR
credit_private,2022-01,7578237.45,Million PKR
credit_private,2022-02,7632560.09,Million PKR
credit_private,2022-03,7691002.03,Million PKR
credit_private,2022-04,7948242.11,Million PKR
credit_private,2022-05,8046425.27,Million PKR
credit_private,2022-06,8142527.64,Million PKR
credit_private,2022-07,8317881.45,Million PKR
credit_private,2022-08,8159234.86,Million PKR
credit_private,2022-09,8339768.72,Million PKR
credit_private,2022-10,8394492.42,Million PKR
credit_private,2022-11,8433677.84,Million PKR
credit_private,2022-12,8341486.51,Million PKR
credit_private,2023-01,8641895.17,Million PKR
credit_private,2023-02,8675000.49,Million PKR
credit_private,2023-03,8702722.99,Million PKR
credit_private,2023-04,8397096.98,Million PKR
credit_private,2023-05,8329631.09,Million PKR
credit_private,2023-06,8211546.98,Million PKR
credit_private,2023-07,8075674.46,Million PKR
credit_private,2023-08,8170805.03,Million PKR
credit_private,2023-09,8161293.65,Million PKR
credit_private,2023-10,8143052.67,Million PKR
credit_private,2023-11,8313290.25,Million PKR
credit_private,2023-12,8474619.1,Million PKR
credit_private,2024-01,8510379.81,Million PKR
credit_private,2024-02,8593230.04,Million PKR
credit_private,2024-03,8631491.6,Million PKR
credit_private,2024-04,8504643.76,Million PKR
credit_private,2024-05,8593806.43,Million PKR
credit_private,2024-06,8552397.78,Million PKR
credit_private,2024-07,8565358.15,Million PKR
credit_private,2024-08,8520153.45,Million PKR
