date,total,saudiArabia,uae,uk,usa,otherGcc,eu
2021-07,2736.077681,659.8738655,547.6830148,397.9441676,277.2210866,300.3415686,301.1338597
2021-08,2682.62743,715.9610477,528.1112733,359.1006348,235.1889067,296.8484414,294.6722186
2021-09,2779.892769,719.5372702,525.2717205,380.2640198,250.1163735,317.0940818,302.4637337
2021-10,2628.586368,689.8093779,479.1088367,355.1411109,238.2960297,296.3659765,295.4835169
2021-11,2459.709253,622.3002092,475.0538859,313.7353883,244.3641291,297.6644983,266.7215365
2021-12,2520.352433,626.5676642,453.1556628,340.7538141,248.5134788,298.2549197,289.632495
2022-01,2180.433945,548.8788089,382.3264141,324.293808,211.8517807,257.763081,239.4165305
2022-02,2196.168428,558.4495959,386.2637695,319.9396728,211.2146596,261.3598823,237.7485978
2022-03,2834.767043,686.3786044,521.0631052,402.256953,301.6261052,345.2744983,281.1692774
2022-04,3124.369515,704.5320896,614.0900434,484.1431274,347.0441848,358.9055479,297.2454922
2022-05,2346.240221,546.311336,434.3226886,358.495773,234.6270546,268.8500879,270.2265484
2022-06,2789.577806,675.5741395,499.7276994,456.8190923,287.2974626,326.6716078,285.5617689
2022-07,2594.295739,600.5614718,458.1874229,412.1457462,269.9052432,282.0875926,298.2280589
2022-08,2815.673902,713.0721279,541.5079781,371.4146306,317.0711492,302.9445212,279.8682278
2022-09,2487.225612,632.7087575,474.7998187,308.3582354,281.4683967,296.7388973,259.4870454
2022-10,2247.62424,582.484991,426.0974232,280.7112817,261.6884195,259.4475027,232.2586457
2022-11,2173.036496,511.9687648,380.3551316,306.8030039,242.8389474,259.4017737,252.874433
2022-12,2099.787498,529.9300613,331.0451498,320.6401854,243.2054116,240.2488746,239.6535176
2023-01,1900.087935,409.4191422,269.5268005,331.3016002,214.4192081,243.9754448,242.4944141
2023-02,1990.345686,454.9351538,324.100998,317.2030973,219.8453571,241.7345321,245.3654948
2023-03,2536.682781,567.7371431,409.797482,421.2196794,315.2453901,298.6892185,297.5364832
2023-04,2198.302053,489.8300644,380.0561113,353.5744383,271.8521812,250.0999547,257.5352487
2023-05,2102.666259,523.9989969,335.846416,306.4139655,257.2651479,250.6863609,249.193926
2023-06,2187.080838,516.1317958,324.7905358,343.4493654,272.978177,271.9788073,279.199228
2023-07,2029.041389,486.7514316,315.4835959,306.5672852,241.2975329,228.3357526,283.3905943
2023-08,2094.507,491.1088,308.4003,329.7828,262.6603,244.6827,290.8348
2023-09,2208.130749,538.310195,399.7819916,311.2628035,263.8056292,248.1341075,269.6405737
2023-10,2463.117162,616.7847477,473.9219697,330.2572361,283.2948294,269.4700571,297.6011516
2023-11,2258.544029,543.5872397,411.751191,342.1829527,261.6073636,243.2801077,268.6190277
2023-12,2381.853131,577.5683593,419.1504173,368.006039,263.8400062,255.1774078,284.9461063
2024-01,2397.870065,587.3815722,407.6332926,362.2123694,283.4811752,252.7814634,290.1933703
2024-02,2250.147228,539.9134446,384.7641596,346.0127345,287.4143166,232.2032111,263.4397576
2024-03,2953.980816,703.0526642,548.4671013,461.5259287,372.5480363,302.7270332,314.7152968
2024-04,2813.267052,712.1509537,542.4612633,403.225012,329.8561818,288.3625139,297.9798322
2024-05,3242.226877,819.0183586,668.424931,473.076569,359.4362731,313.9801589,339.9149654
2024-06,3158.138862,808.5991222,654.3558463,487.4142204,321.9497788,301.2356668,330.1297067
2024-07,2993.99974,760.0940215,611.2493252,443.4701219,300.0597808,288.3691847,350.8085791
2024-08,2942.812184,713.1203425,538.3521539,474.8489438,322.3864397,281.344513,375.8038979
2024-09,2859.516117,683.8489946,562.6521171,424.100234,277.713312,291.8491743,365.5219228
2024-10,3054.550962,766.7652059,620.9426437,429.7593461,301.2323491,320.1626075,359.0735171
2024-11,2915.348668,729.2187807,619.4324707,409.8923074,288.2194902,303.0080767,323.4659011
2024-12,3080.397524,770.5560427,631.4662664,438.0291995,303.9210528,310.0892515,360.3189351
2025-01,3003.375873,728.2681558,621.5340258,443.567884,299.1560017,295.3857235,353.6768958
2025-02,3126.670931,745.1915438,657.6503945,496.6417778,309.6323416,306.8634639,345.0554564
2025-03,4053.579523,985.8076605,841.9313582,683.8070873,420.1031886,359.1845477,432.9260062
2025-04,3176.93,725.33,652.61,535.11,302.4,290.43,412.16
2025-05,3685.588476,913.9467902,754.1712974,588.0653583,314.3084144,361.6795989,422.1192153
2025-06,3406.389361,823.2058658,717.1885537,537.6445608,281.2391961,303.4559458,442.2189056
2025-07,3214.514462,823.7330943,665.2731481,450.3055238,269.6002887,295.9906552,424.4351347
2025-08,3138.174787,736.6861568,642.9298254,463.3691157,267.3275829,303.8619216,432.6725944
2025-09,3184.123961,750.9829118,677.149588,454.7888376,269.0206605,299.6556279,422.4760895
2025-10,3419.61361,837.7040991,703.2806687,498.7659339,301.4392967,345.8859774,422.2796962
2025-11,3188.337716,753.0208946,675.0469905,480.658691,277.0124293,298.8535944,416.6351028
2025-12,3592.442722,813.053307,725.8071854,559.739338,301.7168066,333.2282301,502.9219492
2026-01,3464.468094,767.3824097,658.055959,574.8062718,296.3416765,330.5402407,482.6268614
2026-02,3287.872847,685.5111972,696.2194373,532.1143198,319.4536949,317.1918087,395.4706519
2026-03,3831.405102,918.7886121,829.9068709,587.2733264,358.8162807,366.6630419,413.7920951
2026-04,3537.025479,841.6001374,734.4166233,563.5785311,317.2677242,328.6808645,432.1496548
2026-05,4252.157161,1025.062151,1006.61649,645.4829447,349.0526892,392.7149407,465.8083145
2026-06,3474.529933,829.6129138,792.2467235,514.8659817,296.7873482,320.6886041,415.3712113
