date,imports,exports,balance
2021-01,4412,2100,-2312
2021-02,4476,2184,-2292
2021-03,5392,2616,-2776
2021-04,4975,2304,-2671
2021-05,4934,2130,-2804
2021-06,6302,2492,-3810
2021-07,5278,2234,-3044
2021-08,5869,2339,-3530
2021-09,5951,2627,-3324
2021-10,5776,2375,-3401
2021-11,6252,2737,-3515
2021-12,6310,2930,-3380
2022-01,6130,2503,-3627
2022-02,5066,2890,-2176
2022-03,6114,3071,-3043
2022-04,5959,3152,-2807
2022-05,5634,2505,-3129
2022-06,7204,3130,-4074
2022-07,5562,2215,-3347
2022-08,6007,2734,-3273
2022-09,4951,2438,-2513
2022-10,4657,2281,-2376
2022-11,4340,2246,-2094
2022-12,4256,2308,-1948
2023-01,4109,2222,-1887
2023-02,4104,2199,-1905
2023-03,4158,2422,-1736
2023-04,3622,2135,-1487
2023-05,3752,2565,-1187
2023-06,3177,2111,-1066
2023-07,4149,2104,-2045
2023-08,4218,2411,-1807
2023-09,3929,2439,-1490
2023-10,4382,2721,-1661
2023-11,4537,2697,-1840
2023-12,4200,2783,-1417
2024-01,4686,2680,-2006
2024-02,4383,2534,-1849
2024-03,4573,2523,-2050
2024-04,4448,2638,-1810
2024-05,5014,3007,-2007
2024-06,4638,2443,-2195
2024-07,4850,2365,-2485
2024-08,4708,2439,-2269
2024-09,4691,2616,-2075
2024-10,4647,3006,-1641
2024-11,4119,2790,-1329
2024-12,4894,3109,-1785
2025-01,5481,3009,-2472
2025-02,5051,2609,-2442
2025-03,4938,2759,-2179
2025-04,5246,2606,-2640
2025-05,5501,2444,-3057
2025-06,5020,2591,-2429
2025-07,5429,2750,-2679
2025-08,5020,2488,-2532
2025-09,5040,2609,-2431
2025-10,5396,2632,-2764
2025-11,4730,2277,-2453
2025-12,5765,2758,-3007
2026-01,5339,2749,-2590
2026-02,5114,2481,-2633
2026-03,4857,2528,-2329
2026-04,5989,2619,-3370
2026-05,5640,2357,-3283
2026-06,6152,2573,-3579
2026-07,6154,3008,-3146
